commit,author,date,url
3783b139e9ec577472a1809fa372e4016f0cbec9,Wladimir J. van der Laan,Tue Sep 11 02:01:26 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/3783b139e9ec577472a1809fa372e4016f0cbec9
7ab2837b65217e6bf010512c4ea44b09cad69bad,Wladimir J. van der Laan,Tue Sep 11 01:38:43 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/7ab2837b65217e6bf010512c4ea44b09cad69bad
893628be0166b4096b6e52f516e0f65bb63a75a2,Ben Woosley,Thu Jun 14 19:48:30 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/893628be0166b4096b6e52f516e0f65bb63a75a2
da74db0940720407fafaf3582bbaf9c81a4d3b4d,Ben Woosley,Fri Jun 22 13:27:18 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/da74db0940720407fafaf3582bbaf9c81a4d3b4d
fac95398366f644911b58f1605e6bc37fb76782d,MarcoFalke,Sun Sep 09 12:32:37 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fac95398366f644911b58f1605e6bc37fb76782d
faa669cbcd1fc799517b523b0f850e01b11bf40a,MarcoFalke,Mon Sep 10 15:58:15 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/faa669cbcd1fc799517b523b0f850e01b11bf40a
e2213689328f8ba42af1d32d12c7b78a71f1ddc7,Chun Kuan Lee,Mon Sep 10 13:08:56 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e2213689328f8ba42af1d32d12c7b78a71f1ddc7
7d038dcb41d93ea0b7401140998225adaab8c065,John Newbery,Fri Sep 07 11:36:53 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/7d038dcb41d93ea0b7401140998225adaab8c065
eb2f1bd276108e70aff0f582a407e9b702eb4dd1,MarcoFalke,Mon Sep 10 13:04:31 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/eb2f1bd276108e70aff0f582a407e9b702eb4dd1
fa263bcfe4747461e375e186738f73273b015f27,MarcoFalke,Mon Sep 10 12:08:13 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fa263bcfe4747461e375e186738f73273b015f27
13c842e02816e5bdd7e6dd4d3a60482d9f272708,Wladimir J. van der Laan,Mon Sep 10 12:01:13 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/13c842e02816e5bdd7e6dd4d3a60482d9f272708
e0a4f9de7fbb675dcc7207f91b60b66f14dc227a,Wladimir J. van der Laan,Mon Sep 10 11:19:02 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e0a4f9de7fbb675dcc7207f91b60b66f14dc227a
838b85e120fd7957cf4abce0905d3aff96fa7278,Wladimir J. van der Laan,Mon Sep 10 11:13:11 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/838b85e120fd7957cf4abce0905d3aff96fa7278
7c7bb6e7726a13443a9ad0231808f2858636b39f,Wladimir J. van der Laan,Mon Sep 10 11:07:53 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/7c7bb6e7726a13443a9ad0231808f2858636b39f
6eeac2e628b5332dcaee60e5c83861c94e44d04d,Wladimir J. van der Laan,Mon Sep 10 10:58:40 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/6eeac2e628b5332dcaee60e5c83861c94e44d04d
321075609d23a1e23b7b905294516a497c14d07d,Wladimir J. van der Laan,Mon Sep 10 10:57:33 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/321075609d23a1e23b7b905294516a497c14d07d
e5eb8ba564144bb8e772d49c2aa7e4f22e37af7e,Wladimir J. van der Laan,Mon Sep 10 10:53:25 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e5eb8ba564144bb8e772d49c2aa7e4f22e37af7e
793d2b74306d6628ef5b92dce9a081f8951efc2d,MarcoFalke,Mon Sep 10 10:00:28 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/793d2b74306d6628ef5b92dce9a081f8951efc2d
fbfa2e46ff7387b15c0e231bab00917a8cbbe3e2,Wladimir J. van der Laan,Mon Sep 10 08:37:20 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fbfa2e46ff7387b15c0e231bab00917a8cbbe3e2
ae251fa2aae89acb10b65aafe0b52c48e97b6b00,MarcoFalke,Mon Sep 10 07:48:06 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/ae251fa2aae89acb10b65aafe0b52c48e97b6b00
bc8aa2ba7879b25b90a36413e3bf6842b2527a4b,Michael Polzer,Mon Sep 10 06:08:25 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/bc8aa2ba7879b25b90a36413e3bf6842b2527a4b
7177e093f9e4ae0dcf1bb46e93cb15d367d3dad5,Chun Kuan Lee,Sun Sep 09 21:49:35 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/7177e093f9e4ae0dcf1bb46e93cb15d367d3dad5
faea5bfc5a975874acf763082852ed532ed81a95,MarcoFalke,Sun Sep 09 13:04:18 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/faea5bfc5a975874acf763082852ed532ed81a95
e7a72455fa4d5c5b1a37ceae1ec557354b3009c2,Emanuele Cisbani,Sun Sep 09 11:31:09 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/e7a72455fa4d5c5b1a37ceae1ec557354b3009c2
cb25cd6aa18c69918176d68e36e26f7e373aa48c,Wladimir J. van der Laan,Fri Sep 07 23:56:51 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/cb25cd6aa18c69918176d68e36e26f7e373aa48c
eea87ef537b8ef38023e63c306ac163791f6eb66,Wladimir J. van der Laan,Fri Sep 07 22:15:50 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/eea87ef537b8ef38023e63c306ac163791f6eb66
3076556cd0317f7a05fd6836133dd6c051c4b53f,John Newbery,Fri Sep 07 11:35:42 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/3076556cd0317f7a05fd6836133dd6c051c4b53f
fb06eb4ef75e7c17d5ee5dba256d43bccdc4c9f5,MarcoFalke,Fri Sep 07 13:21:11 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fb06eb4ef75e7c17d5ee5dba256d43bccdc4c9f5
faa1a749428a195af784633eb78e1df5d6a0e875,MarcoFalke,Sun Jul 29 09:41:42 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/faa1a749428a195af784633eb78e1df5d6a0e875
b8cf492e850abb05a39f24150b08320ae2a3f451,MarcoFalke,Fri Sep 07 07:24:19 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/b8cf492e850abb05a39f24150b08320ae2a3f451
faad55a9a24601aac47b5e3bc44827ddb41d8f93,MarcoFalke,Fri Sep 07 07:22:00 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/faad55a9a24601aac47b5e3bc44827ddb41d8f93
dc287c98f8b33576f3c71db02a232106ef0e57d9,MarcoFalke,Fri Sep 07 07:20:26 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/dc287c98f8b33576f3c71db02a232106ef0e57d9
fa14b54a872ef0ff755e3c1c0775904ca33cb5ff,MarcoFalke,Fri Aug 31 08:11:20 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/fa14b54a872ef0ff755e3c1c0775904ca33cb5ff
4799b0932a10c5a48706700a07899b33ef9c8bae,MarcoFalke,Thu Sep 06 22:01:38 EST 2018,https://api.github.com/repos/bitcoin/bitcoin/commits/4799b0932a10c5a48706700a07899b33ef9c8bae
